"ITTER107","Territorio","TIPO_DATO4","Tipologia aggregato","BRANCA_ATTIVITAREV2","Ateco 2007","INQUINANTI","Elementi inquinanti/temi ambientali","FREQUENCY","Periodicità","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C22","fabbricazione di articoli in gomma e materie plastiche","NF3","trifloruro di azoto","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C23","fabbricazione di altri prodotti della lavorazione di minerali non metalliferi","N2O","protossido di azoto","A","annuale","2021M1","Gen-2021","2019","2019",1391.2,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C23","fabbricazione di altri prodotti della lavorazione di minerali non metalliferi","SOX","ossidi di zolfo","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C23","fabbricazione di altri prodotti della lavorazione di minerali non metalliferi","CO","monossido di carbonio","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C23","fabbricazione di altri prodotti della lavorazione di minerali non metalliferi","CO2_BM","anidride carbonica da biomassa utilizzata come combustibile","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C24_25","attività metallurgiche e fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","PB","piombo (Pb)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C25","fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","CO","monossido di carbonio","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C25","fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","CR","cromo (Cr)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C25","fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","NI","nichel (Ni)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C25","fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","CO2_BM","anidride carbonica da biomassa utilizzata come combustibile","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C25","fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","SF6","esafluoruri","A","annuale","2021M1","Gen-2021","2019","2019",1217.3,"p","dato provvisorio"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","C25","fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature","PAE","acidificazione (ton di potenziale acido equivalente PAE)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C26","fabbricazione di computer e prodotti di elettronica e ottica","CR","cromo (Cr)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","C26","fabbricazione di computer e prodotti di elettronica e ottica","NI","nichel (Ni)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T_CO2EQ","emissioni atmosferiche -tonnellate CO2 equivalenti-","C26","fabbricazione di computer e prodotti di elettronica e ottica","SF6","esafluoruri","A","annuale","2021M1","Gen-2021","2019","2019",45121.8,"p","dato provvisorio"
"IT","Italia","AEEIS_T","emissioni atmosferiche - temi ambientali","C26","fabbricazione di computer e prodotti di elettronica e ottica","PAE","acidificazione (ton di potenziale acido equivalente PAE)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AE_T","emissioni atmosferiche - (tonnellate)","C27","fabbricazione di apparecchiature elettriche","CO2","anidride carbonica (escluso combustione da biomassa)","A","annuale","2021M1","Gen-2021","2019","2019",512412.8,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","E","fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","HG","mercurio (Hg)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
"IT","Italia","AEHM_K","emissioni atmosferiche - metalli pesanti (chilogrammi)","E","fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","SE","selenio (Se)","A","annuale","2021M1","Gen-2021","2019","2019",0,"p","dato provvisorio"
